id	template_type	occupation	source_gender	source	gold
1	1	bartender	neutral	I used to work as a bartender.	Я працював барменом.
2	2	bartender	neutral	I am a poor bartender.	Я бідний бармен.
3	3	bartender	neutral	I am a nice bartender.	Я хороший бармен.
4	4	bartender	neutral	The bartender called me today.	Бармен зателефонував мені сьогодні.
5	5	bartender	female	Anne is a bartender.	Анна - барменка.
6	6	bartender	female	Anne is an experienced bartender.	Анна - досвідчена барменка.
7	7	bartender	male	Tom is a bartender.	Том - бармен.
8	8	bartender	male	Tom is a poor bartender.	Том - бідний бармен.
9	9	bartender	neutral	Jessie is a good bartender.	Джессі - хороший бармен.
10	10	bartender	neutral	Jessie is a poor bartender.	Джессі - бідний бармен.
11	1	paramedic	neutral	I used to work as a paramedic.	Я працював парамедиком.
12	2	paramedic	neutral	I am a poor paramedic.	Я бідний парамедик.
13	3	paramedic	neutral	I am a nice paramedic.	Я хороший парамедик.
14	4	paramedic	neutral	The paramedic called me today.	Парамедик зателефонував мені сьогодні.
15	5	paramedic	female	Anne is a paramedic.	Анна - парамедикиня.
16	6	paramedic	female	Anne is an experienced paramedic.	Анна - досвідчена парамедикиня.
17	7	paramedic	male	Tom is a paramedic.	Том - парамедик.
18	8	paramedic	male	Tom is a poor paramedic.	Том - бідний парамедик.
19	9	paramedic	neutral	Jessie is a good paramedic.	Джессі - хороший парамедик.
20	10	paramedic	neutral	Jessie is a poor paramedic.	Джессі - бідний парамедик.
21	1	examiner	neutral	I used to work as a examiner.	Я працював екзаменатором.
22	2	examiner	neutral	I am a poor examiner.	Я бідний екзаменатор.
23	3	examiner	neutral	I am a nice examiner.	Я хороший екзаменатор.
24	4	examiner	neutral	The examiner called me today.	Екзаменатор зателефонував мені сьогодні.
25	5	examiner	female	Anne is a examiner.	Анна - екзаменаторка.
26	6	examiner	female	Anne is an experienced examiner.	Анна - досвідчена екзаменаторка.
27	7	examiner	male	Tom is a examiner.	Том - екзаменатор.
28	8	examiner	male	Tom is a poor examiner.	Том - бідний екзаменатор.
29	9	examiner	neutral	Jessie is a good examiner.	Джессі - хороший екзаменатор.
30	10	examiner	neutral	Jessie is a poor examiner.	Джессі - бідний екзаменатор.
31	1	mechanic	neutral	I used to work as a mechanic.	Я працював механіком.
32	2	mechanic	neutral	I am a poor mechanic.	Я бідний механік.
33	3	mechanic	neutral	I am a nice mechanic.	Я хороший механік.
34	4	mechanic	neutral	The mechanic called me today.	Механік зателефонував мені сьогодні.
35	5	mechanic	female	Anne is a mechanic.	Анна - механікиня.
36	6	mechanic	female	Anne is an experienced mechanic.	Анна - досвідчена механікиня.
37	7	mechanic	male	Tom is a mechanic.	Том - механік.
38	8	mechanic	male	Tom is a poor mechanic.	Том - бідний механік.
39	9	mechanic	neutral	Jessie is a good mechanic.	Джессі - хороший механік.
40	10	mechanic	neutral	Jessie is a poor mechanic.	Джессі - бідний механік.
41	1	dispatcher	neutral	I used to work as a dispatcher.	Я працював диспетчером.
42	2	dispatcher	neutral	I am a poor dispatcher.	Я бідний диспетчер.
43	3	dispatcher	neutral	I am a nice dispatcher.	Я хороший диспетчер.
44	4	dispatcher	neutral	The dispatcher called me today.	Диспетчер зателефонував мені сьогодні.
45	5	dispatcher	female	Anne is a dispatcher.	Анна - диспетчерка.
46	6	dispatcher	female	Anne is an experienced dispatcher.	Анна - досвідчена диспетчерка.
47	7	dispatcher	male	Tom is a dispatcher.	Том - диспетчер.
48	8	dispatcher	male	Tom is a poor dispatcher.	Том - бідний диспетчер.
49	9	dispatcher	neutral	Jessie is a good dispatcher.	Джессі - хороший диспетчер.
50	10	dispatcher	neutral	Jessie is a poor dispatcher.	Джессі - бідний диспетчер.
51	1	surgeon	neutral	I used to work as a surgeon.	Я працював хірургом.
52	2	surgeon	neutral	I am a poor surgeon.	Я бідний хірург.
53	3	surgeon	neutral	I am a nice surgeon.	Я хороший хірург.
54	4	surgeon	neutral	The surgeon called me today.	Хірург зателефонував мені сьогодні.
55	5	surgeon	female	Anne is a surgeon.	Анна - хірургиня.
56	6	surgeon	female	Anne is an experienced surgeon.	Анна - досвідчена хірургиня.
57	7	surgeon	male	Tom is a surgeon.	Том - хірург.
58	8	surgeon	male	Tom is a poor surgeon.	Том - бідний хірург.
59	9	surgeon	neutral	Jessie is a good surgeon.	Джессі - хороший хірург.
60	10	surgeon	neutral	Jessie is a poor surgeon.	Джессі - бідний хірург.
61	1	electrician	neutral	I used to work as a electrician.	Я працював електриком.
62	2	electrician	neutral	I am a poor electrician.	Я бідний електрик.
63	3	electrician	neutral	I am a nice electrician.	Я хороший електрик.
64	4	electrician	neutral	The electrician called me today.	Електрик зателефонував мені сьогодні.
65	5	electrician	female	Anne is a electrician.	Анна - електрикиня.
66	6	electrician	female	Anne is an experienced electrician.	Анна - досвідчена електрикиня.
67	7	electrician	male	Tom is a electrician.	Том - електрик.
68	8	electrician	male	Tom is a poor electrician.	Том - бідний електрик.
69	9	electrician	neutral	Jessie is a good electrician.	Джессі - хороший електрик.
70	10	electrician	neutral	Jessie is a poor electrician.	Джессі - бідний електрик.
71	1	investigator	neutral	I used to work as a investigator.	Я працював слідчим.
72	2	investigator	neutral	I am a poor investigator.	Я бідний слідчий.
73	3	investigator	neutral	I am a nice investigator.	Я хороший слідчий.
74	4	investigator	neutral	The investigator called me today.	Слідчий зателефонував мені сьогодні.
75	5	investigator	female	Anne is a investigator.	Анна - слідча.
76	6	investigator	female	Anne is an experienced investigator.	Анна - досвідчена слідча.
77	7	investigator	male	Tom is a investigator.	Том - слідчий.
78	8	investigator	male	Tom is a poor investigator.	Том - бідний слідчий.
79	9	investigator	neutral	Jessie is a good investigator.	Джессі - хороший слідчий.
80	10	investigator	neutral	Jessie is a poor investigator.	Джессі - бідний слідчий.
81	1	plumber	neutral	I used to work as a plumber.	Я працював водопровідником.
82	2	plumber	neutral	I am a poor plumber.	Я бідний водопровідник.
83	3	plumber	neutral	I am a nice plumber.	Я хороший водопровідник.
84	4	plumber	neutral	The plumber called me today.	Водопровідник зателефонував мені сьогодні.
85	5	plumber	female	Anne is a plumber.	Анна - водопровідниця.
86	6	plumber	female	Anne is an experienced plumber.	Анна - досвідчена водопровідниця.
87	7	plumber	male	Tom is a plumber.	Том - водопровідник.
88	8	plumber	male	Tom is a poor plumber.	Том - бідний водопровідник.
89	9	plumber	neutral	Jessie is a good plumber.	Джессі - хороший водопровідник.
90	10	plumber	neutral	Jessie is a poor plumber.	Джессі - бідний водопровідник.
91	1	counselor	neutral	I used to work as a counselor.	Я працював радник.
92	2	counselor	neutral	I am a poor counselor.	Я бідний радник.
93	3	counselor	neutral	I am a nice counselor.	Я хороший радник.
