Tagged EN,ukr_reference
<neutral> A doctor told me that eating eggs was bad for me.,"Лікар сказав, що яйця шкідливі для мене."
<male> A good doctor follows his own directions.,Добрий лікар слухається власних порад.
"<female> A lady, whose husband is a famous scientist, came over from the other side.","Пані, чоловік якої відомий вчений, підійшла з іншого боку."
<neutral> All doctors say something to please their patients.,"Будь-який лікар каже те, що подобається пацієнтам."
<neutral> All doctors say what their patients want them to.,"Будь-який лікар каже те, що подобається пацієнтам."
<female> All the kids love this teacher.,Всі діти дуже люблять цього вчителя.
<neutral> All the workers went home save one.,"Всі робітники пішли додому, за винятком одного."
"<neutral> Among the audience, there were teachers, lawyers, engineers, and so on.","Серед слухачів були вчителі, адвокати, інженери і так далі."
<neutral> An apple a day keeps the doctor away.,Одне яблуко в день зробить вашого доктора безробітним.
<neutral> A police officer told us to leave the park.,Поліцейський сказав нам піти з парку.
"<female> Apparently, Tom used to be a teacher.","Певно, Том колись був вчителем."
<neutral> Aren't you a chemistry major?,Хіба ваша спеціалізація — не хімія?
<neutral> Aren't you a chemistry student?,Хіба ви не студент-хімік?
<neutral> Aren't you a chemistry student?,Хіба ти не студент-хімік?
<neutral> Aren't you a doctor?,Хіба ви не лікар?
<neutral> Aren't you a doctor?,Хіба ти не лікар?
<neutral> Aren't you a pathologist?,Хіба ви не патологоанатом?
<neutral> Aren't you a pathologist?,Хіба ти не патологоанатом?
<neutral> Aren't you a police officer?,Хіба ви не офіцер поліції?
<neutral> Aren't you a police officer?,Хіба ти не офіцер поліції?
<neutral> Aren't you a psychologist?,Хіба ти не психолог?
<female> Aren't you a science teacher?,Хіба ви не викладач наукових дисциплін?
<female> Aren't you a science teacher?,Хіба ти не викладач наукових дисциплін?
<female> Aren't you a teacher here?,Хіба dи тут не учитель?
<female> Aren't you a teacher here?,Хіба не ви тут учитель?
<female> Aren't you a teacher here?,Хіба не ти тут учитель?
<female> Aren't you a teacher here?,Хіба ти тут не учитель?
<female> Aren't you a teacher?,Хіба ви не вчитель?
<female> Aren't you a teacher?,Хіба ти не викладач?
<neutral> Aren't you doctors?,Хіба ви не лікарі?
<neutral> Aren't you the manager?,Хіба ви не керівник?
<neutral> Aren't you the manager?,Хіба не ти керівник?
<neutral> Aren't you the manager?,Хіба ти не керівник?
<neutral> Are there any French-speaking doctors working here?,"Тут працюють які-небудь лікарі, що говорять французькою?"
<neutral> Are there any French-speaking doctors working here?,Тут працюють які-небудь франкомовні лікарі?
<neutral> Are you a doctor?,Ви - лікар?
<male> Are you an engineer?,Ви інженер?
<male> Are you an engineer?,Ти інженер?
<female> Are you a teacher here or a student?,Ви тут вчитель чи учень?
<female> Are you a teacher or a student here?,Ви тут вчитель чи учень?
<female> Are you a teacher or a student?,Ви учитель чи студент?
<female> Are you a teacher?,Ви викладач?
<female> Are you a teacher?,Ви професор?
<female> Are you a teacher?,Ти викладач?
<female> Are you a teacher?,Ти вчитель?
<female> Are you a teacher?,Ти професор?
<neutral> Are you doctors?,Ви лікарі?
