source
<neutral> I used to work as a bartender.
<neutral> I am a poor bartender.
<neutral> I am a nice bartender.
<neutral> The bartender called me today.
<female> Anne is a bartender.
<female> Anne is an experienced bartender.
<male> Tom is a bartender.
<male> Tom is a poor bartender.
<neutral> Jessie is a good bartender.
<neutral> Jessie is a poor bartender.
<neutral> I used to work as a paramedic.
<neutral> I am a poor paramedic.
<neutral> I am a nice paramedic.
<neutral> The paramedic called me today.
<female> Anne is a paramedic.
<female> Anne is an experienced paramedic.
<male> Tom is a paramedic.
<male> Tom is a poor paramedic.
<neutral> Jessie is a good paramedic.
<neutral> Jessie is a poor paramedic.
<neutral> I used to work as a examiner.
<neutral> I am a poor examiner.
<neutral> I am a nice examiner.
<neutral> The examiner called me today.
<female> Anne is a examiner.
<female> Anne is an experienced examiner.
<male> Tom is a examiner.
<male> Tom is a poor examiner.
<neutral> Jessie is a good examiner.
<neutral> Jessie is a poor examiner.
<male> I used to work as a mechanic.
<male> I am a poor mechanic.
<male> I am a nice mechanic.
<male> The mechanic called me today.
<female> Anne is a mechanic.
<female> Anne is an experienced mechanic.
<male> Tom is a mechanic.
<male> Tom is a poor mechanic.
<male> Jessie is a good mechanic.
<male> Jessie is a poor mechanic.
<neutral> I used to work as a dispatcher.
<neutral> I am a poor dispatcher.
<neutral> I am a nice dispatcher.
<neutral> The dispatcher called me today.
<female> Anne is a dispatcher.
<female> Anne is an experienced dispatcher.
<male> Tom is a dispatcher.
<male> Tom is a poor dispatcher.
<neutral> Jessie is a good dispatcher.
<neutral> Jessie is a poor dispatcher.
<neutral> I used to work as a surgeon.
<neutral> I am a poor surgeon.
<neutral> I am a nice surgeon.
<neutral> The surgeon called me today.
<female> Anne is a surgeon.
<female> Anne is an experienced surgeon.
<male> Tom is a surgeon.
<male> Tom is a poor surgeon.
<neutral> Jessie is a good surgeon.
<neutral> Jessie is a poor surgeon.
<neutral> I used to work as a electrician.
<neutral> I am a poor electrician.
<neutral> I am a nice electrician.
<neutral> The electrician called me today.
<female> Anne is a electrician.
<female> Anne is an experienced electrician.
<male> Tom is a electrician.
<male> Tom is a poor electrician.
<neutral> Jessie is a good electrician.
<neutral> Jessie is a poor electrician.
<neutral> I used to work as a investigator.
<neutral> I am a poor investigator.
<neutral> I am a nice investigator.
<neutral> The investigator called me today.
<female> Anne is a investigator.
<female> Anne is an experienced investigator.
<male> Tom is a investigator.
<male> Tom is a poor investigator.
<neutral> Jessie is a good investigator.
<neutral> Jessie is a poor investigator.
<neutral> I used to work as a plumber.
<neutral> I am a poor plumber.
<neutral> I am a nice plumber.
<neutral> The plumber called me today.
<female> Anne is a plumber.
<female> Anne is an experienced plumber.
<male> Tom is a plumber.
<male> Tom is a poor plumber.
<neutral> Jessie is a good plumber.
<neutral> Jessie is a poor plumber.
<neutral> I used to work as a counselor.
<neutral> I am a poor counselor.
<neutral> I am a nice counselor.
<neutral> The counselor called me today.
<female> Anne is a counselor.
<female> Anne is an experienced counselor.
<male> Tom is a counselor.
<male> Tom is a poor counselor.
<neutral> Jessie is a good counselor.
<neutral> Jessie is a poor counselor.
<neutral> I used to work as a administrator.
<neutral> I am a poor administrator.
<neutral> I am a nice administrator.
<neutral> The administrator called me today.
<female> Anne is a administrator.
<female> Anne is an experienced administrator.
<male> Tom is a administrator.
<male> Tom is a poor administrator.
<neutral> Jessie is a good administrator.
<neutral> Jessie is a poor administrator.
<neutral> I used to work as a auditor.
<neutral> I am a poor auditor.
<neutral> I am a nice auditor.
<neutral> The auditor called me today.
<female> Anne is a auditor.
<female> Anne is an experienced auditor.
<male> Tom is a auditor.
<male> Tom is a poor auditor.
<neutral> Jessie is a good auditor.
<neutral> Jessie is a poor auditor.
<neutral> I used to work as a chef.
<neutral> I am a poor chef.
<neutral> I am a nice chef.
<neutral> The chef called me today.
<female> Anne is a chef.
<female> Anne is an experienced chef.
<male> Tom is a chef.
<male> Tom is a poor chef.
<neutral> Jessie is a good chef.
<neutral> Jessie is a poor chef.
<male> I used to work as a engineer.
<male> I am a poor engineer.
<male> I am a nice engineer.
<male> The engineer called me today.
<female> Anne is a engineer.
<female> Anne is an experienced engineer.
