template_type	occupation	source_gender	source	gold	model	pipeline	target	GENDER_A0	GENDER_A1
1	bartender	neutral	I used to work as a bartender.	Я працював барменом.	mbart	zeroshot	Я працював барменом.	male	male
2	bartender	neutral	I am a poor bartender.	Я бідний бармен.	mbart	zeroshot	Я бідний бармен.	male	male
3	bartender	neutral	I am a nice bartender.	Я хороший бармен.	mbart	zeroshot	Я хороший бармен.	male	male
4	bartender	neutral	The bartender called me today.	Бармен зателефонував мені сьогодні.	mbart	zeroshot	Бармен зателефонував мені сьогодні.	male	male
5	bartender	female	Anne is a bartender.	Анна - барменка.	mbart	zeroshot	Анна - бармен.	male	male
6	bartender	female	Anne is an experienced bartender.	Анна - досвідчена барменка.	mbart	zeroshot	Анна - досвідчений бармен.	male	male
7	bartender	male	Tom is a bartender.	Том - бармен.	mbart	zeroshot	Том - бармен.	male	male
8	bartender	male	Tom is a poor bartender.	Том - бідний бармен.	mbart	zeroshot	Том - бідний бармен.	male	male
9	bartender	neutral	Jessie is a good bartender.	Джессі - хороший бармен.	mbart	zeroshot	Джесси - хороший бармен.	male	male
10	bartender	neutral	Jessie is a poor bartender.	Джессі - бідний бармен.	mbart	zeroshot	Джесси - бідний бармен.	male	male
1	paramedic	neutral	I used to work as a paramedic.	Я працював парамедиком.	mbart	zeroshot	Я працював парамедиком.	male	male
2	paramedic	neutral	I am a poor paramedic.	Я бідний парамедик.	mbart	zeroshot	Я бідний парамедик.	male	male
3	paramedic	neutral	I am a nice paramedic.	Я хороший парамедик.	mbart	zeroshot	Я хороший парамедик.	male	male
4	paramedic	neutral	The paramedic called me today.	Парамедик зателефонував мені сьогодні.	mbart	zeroshot	Сьогодні мені подзвонив парамедик.	male	male
5	paramedic	female	Anne is a paramedic.	Анна - парамедикиня.	mbart	zeroshot	Анна - парамедика.	female	female
6	paramedic	female	Anne is an experienced paramedic.	Анна - досвідчена парамедикиня.	mbart	zeroshot	Анна - досвідчена парамедика.	female	female
7	paramedic	male	Tom is a paramedic.	Том - парамедик.	mbart	zeroshot	Том - парамедик.	male	male
8	paramedic	male	Tom is a poor paramedic.	Том - бідний парамедик.	mbart	zeroshot	Том - бідний парамедик.	male	male
9	paramedic	neutral	Jessie is a good paramedic.	Джессі - хороший парамедик.	mbart	zeroshot	Джесси - хороший парамедик.	male	male
10	paramedic	neutral	Jessie is a poor paramedic.	Джессі - бідний парамедик.	mbart	zeroshot	Джесси - бідна парамедика.	female	female
1	examiner	neutral	I used to work as a examiner.	Я працював екзаменатором.	mbart	zeroshot	Я працював Examinerом.	male	male
2	examiner	neutral	I am a poor examiner.	Я бідний екзаменатор.	mbart	zeroshot	Я бідний оглядач.	male	male
3	examiner	neutral	I am a nice examiner.	Я хороший екзаменатор.	mbart	zeroshot	Я хороший оглядач.	male	male
4	examiner	neutral	The examiner called me today.	Екзаменатор зателефонував мені сьогодні.	mbart	zeroshot	Проверca зателефонував мені сьогодні.	male	male
